,Make,Model,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Total.Passengers
7047,WEATHERLY,201C,0.0,0.0,0.0,6.0,6.0
7048,WEATHERLY,620,1.0,0.0,0.0,3.0,4.0
7049,WEATHERLY,620B,0.0,0.0,0.0,5.0,5.0
7050,WEATHERLY AVIATION CO INC,620A,0.0,0.0,1.0,1.0,2.0
7051,WEATHERLY AVIATION CO INC,620B,1.0,2.0,0.0,4.0,7.0
7052,WEATHERLY AVIATION COMPANY INC,620B,1.0,0.0,0.0,0.0,1.0
7053,WEAVER DAVID A,PULSAR912XP,0.0,0.0,0.0,1.0,1.0
7054,WEAVER STANLEY R/ROBINSON SCOT,VANSRV-8,0.0,2.0,0.0,0.0,2.0
7055,"WEAVER, DAVID A",PULSAR912XP,0.0,0.0,1.0,0.0,1.0
7056,WEBER,ACROSPORTII,0.0,2.0,0.0,0.0,2.0
7057,WEBER,GLASTAR,0.0,0.0,0.0,1.0,1.0
7058,WEBER,GPA-2,0.0,1.0,0.0,0.0,1.0
7059,WEBER,PELICAN,0.0,0.0,0.0,1.0,1.0
7060,WEDDINGTON,DOUBLEEAGLE,0.0,1.0,0.0,0.0,1.0
7061,WEINBERG,RV-6,0.0,0.0,0.0,1.0,1.0
7062,WEINZIERL,SEAREY,0.0,0.0,0.0,2.0,2.0
7063,WEISS,LANCAIR,2.0,0.0,0.0,0.0,2.0
7064,WEISS DENIS,SPARROWII,0.0,2.0,0.0,0.0,2.0
7065,WEJEBE JOSE,CA8-SF,1.0,0.0,0.0,0.0,1.0
7066,WELCH,RV-9,0.0,0.0,0.0,2.0,2.0
7067,WELCH FLOYD L,QUICKIEQ2,0.0,0.0,0.0,1.0,1.0
7068,WELCH THOMAS,RV9,0.0,0.0,0.0,1.0,1.0
7069,WELLS,PITTSS1S,0.0,0.0,0.0,1.0,1.0
7070,WELLS ELGIN M,STARJAMMER,1.0,0.0,0.0,0.0,1.0
7071,WELLS JOHN L JR,STOLCH701,0.0,1.0,0.0,0.0,1.0
7072,WERMLING,KR-2RANDROBINSON,0.0,0.0,1.0,0.0,1.0
7073,WESTCOTT,PROWLERJAGUAR,1.0,0.0,0.0,0.0,1.0
7074,WESTER/STEIGER,GLASTAR,0.0,0.0,0.0,2.0,2.0
7075,WESTERHOUT/GAGNIER,ESCAPADE,0.0,0.0,0.0,2.0,2.0
7076,WESTON,SEA-ERA,0.0,1.0,0.0,1.0,2.0
7077,WESTON JAMES,GLASAIRIISFT,0.0,0.0,2.0,0.0,2.0
7078,WHEAT,EXCALIBUREX,0.0,0.0,0.0,2.0,2.0
7079,WHEELER,EXPRESSSERIES2000,3.0,0.0,0.0,0.0,3.0
7080,WHEELER,PITTSSPECIAL,0.0,0.0,1.0,0.0,1.0
7081,WHEELER,VANSRV-6A,0.0,0.0,0.0,2.0,2.0
7082,WHEELER C / WHEELER K,LANCAIR235,0.0,0.0,0.0,1.0,1.0
7083,WHITE,NEWSTANDARD,0.0,0.0,0.0,3.0,3.0
7084,WHITE,THORPET18,0.0,0.0,1.0,0.0,1.0
7085,WHITEHEAD,TITAN,1.0,0.0,0.0,0.0,1.0
7086,WHITLOCK,ROTORWAYEXEC162F,0.0,0.0,0.0,2.0,2.0
7087,WHITTEN ROBINSON,AVENTURAII,0.0,0.0,1.0,0.0,1.0
7088,WHITTMAN,8-WMODIFIED,0.0,0.0,1.0,0.0,1.0
7089,WHITTMAN,TAILWIND,0.0,0.0,0.0,3.0,3.0
7090,WICKS AIR CENTER LLC,HORNET,2.0,0.0,0.0,0.0,2.0
7091,WIELT,GREATLAKES2T-1A,0.0,1.0,0.0,0.0,1.0
7092,WIGHT,CARBONCUBCCK-1865,0.0,0.0,0.0,2.0,2.0
7093,WIGHT ALBERT A,KITFOXSPEEDSTER,0.0,0.0,0.0,1.0,1.0
7094,WILDE DANIEL L,ZENITH701,0.0,0.0,0.0,2.0,2.0
7095,WILDERODER,GREATLAKES2TIA,2.0,0.0,0.0,0.0,2.0
7096,WILDMAN,RV6-A,0.0,0.0,1.0,1.0,2.0
7097,WILEY,KITFOXIV,0.0,0.0,1.0,0.0,1.0
7098,WILEY C W,RV-6A,0.0,0.0,0.0,1.0,1.0
7099,WILFORD J. TOLMAN,KITFOX6,0.0,0.0,0.0,2.0,2.0
7100,WILHELM,PUSLAR,0.0,1.0,0.0,0.0,1.0
7101,WILKINSON LORIN L,HATZXB-II,0.0,0.0,0.0,3.0,3.0
7102,WILLERTON,VANSRV6A,0.0,0.0,0.0,2.0,2.0
7103,WILLIAM D DURKEE,RV-6,0.0,0.0,0.0,2.0,2.0
7104,WILLIAM D TELFAIR/ZIA Z TELFAI,EXCALIBUR,0.0,0.0,0.0,1.0,1.0
7105,WILLIAM E. FURR,SEAREY,0.0,0.0,1.0,0.0,1.0
7106,WILLIAM F. LAIR,RV-6A,0.0,0.0,0.0,1.0,1.0
7107,WILLIAM K. CRAWFORD,TANGO2,0.0,0.0,1.0,0.0,1.0
7108,WILLIAM L BELL,VANSRV-7A,0.0,0.0,0.0,1.0,1.0
7109,WILLIAM M OPRENDEK,PITTSS1S,0.0,0.0,0.0,1.0,1.0
7110,WILLIAM P. CROWELL,GENESIS,0.0,1.0,0.0,0.0,1.0
7111,WILLIAM WRIGHT,AVIDFLYER,0.0,1.0,0.0,0.0,1.0
7112,WILLIAMS,CHALLENGERII,0.0,0.0,0.0,1.0,1.0
